color,category,hex
새빨갛,빨간계열,#ff0000
빨갛,빨간계열,#ff3030
시뻘겋,빨간계열,#aa0000
불그스름,빨간계열,#e3665d
불그스레,빨간계열,#ff9090
발그무레,빨간계열,#ffe0e0
발그스레,빨간계열,#ff6060
볼그스레,빨간계열,#ffc0c0
벌그스레,빨간계열,#ff9898
발그레,빨간계열,#ffd8d8
발가우리,빨간계열,#ffe8e8
벌그스름,빨간계열,#990000
누르스레,노란계열,#ffff90
누르무레,노란계열,#ffff98
누르끄레,노란계열,#ffffd8
누르끄무레,노란계열,#ffffe0
노르스레,노란계열,#ffff60
노랗,노란계열,#ffff30
노르께,노란계열,#ddcb00
노리끼리,노란계열,#ddcb00
누리끼리,노란계열,#ccbb00
가마누르께,노란계열,#998700
거머누르께,노란계열,#887700
노르칙칙,노란계열,#665500
누르칙칙,노란계열,#554400
샛노랗,노란계열,#ffff00
시누렇,노란계열,#e8e12a
누르스름,노란계열,#c9c734
파르스레,파란계열,#00aaff
푸르무레,파란계열,#d3e3ff
푸르끄레,파란계열,#d3e3ff
푸르끄무레,파란계열,#d3e3ff
새파랗,파란계열,#0045fb
시퍼렇,파란계열,#003670
파르스름,파란계열,#edfcff
